INDEX:1000:<ulong>,origin_z:1000:<float>,intersect_x:1000:<float>,intersect_y:1000:<float>,idx_x:1000:<float>,idx_y:1000:<float>,value:1000:<float>,time:1000:<float>,gt_intersect_x:1000:<float>,gt_intersect_y:1000:<float>
64,-43.5999984741,80,-45,16,0,-0.755710601807,16,90.0145111084,-48.9927558899
65,-43.5,80,-45,16,0,-0.755710601807,16,89.8606338501,-48.961139679
66,-43.4000015259,80,-45,16,0,-0.755710601807,16,89.7068786621,-48.9290466309
67,-43.2999992371,80,-45,16,0,-0.755710601807,16,89.5531997681,-48.8964653015
68,-43.2000007629,80,-45,16,0,-0.755710601807,16,89.3996429443,-48.8634033203
69,-43.0999984741,80,-45,16,0,-0.755710601807,16,89.2462005615,-48.829864502
70,-43,80,-45,16,0,-0.755710601807,16,89.0928344727,-48.7958374023
71,-42.9000015259,80,-45,16,0,-0.755710601807,16,88.9395980835,-48.7613334656
72,-42.7999992371,80,-45,16,0,-0.755710601807,16,88.7864532471,-48.7263412476
73,-42.7000007629,80,-45,16,0,-0.755710601807,16,88.6334381104,-48.6908760071
74,-42.5999984741,80,-45,16,0,-0.755710601807,16,88.4805374146,-48.6549301147
75,-42.5,80,-45,16,0,-0.755710601807,16,88.3277282715,-48.6184959412
76,-42.4000015259,80,-45,16,0,-0.755710601807,16,88.1750564575,-48.5815887451
77,-42.2999992371,80,-45,16,0,-0.755710601807,16,88.0224761963,-48.5441970825
78,-42.2000007629,80,-45,16,0,-0.755710601807,16,87.8700408936,-48.5063285828
79,-42.0999984741,80,-45,16,0,-0.755710601807,16,87.7177200317,-48.4679832458
80,-42,80,-45,16,0,-0.755710601807,16,87.5654983521,-48.4291572571
81,-41.9000015259,80,-45,16,0,-0.755710601807,16,87.4134292603,-48.3898544312
82,-41.7999992371,80,-45,16,0,-0.755710601807,16,87.2614517212,-48.3500709534
83,-41.7000007629,80,-45,16,0,-0.755710601807,16,87.1096343994,-48.3098182678
84,-41.5999984741,80,-45,16,0,-0.755710601807,16,86.9579315186,-48.2690849304
