kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;64;0.000983187;65094.4;162.736;433.963;1;1
NanoVDB_CPU;64;0.00120566;53083.2;132.708;353.888;1;1
NanoVDB_GPU;64;0.000383024;167091;417.728;334.183;256;256
OpenVDB;64;0.000291351;219666;549.166;1464.44;1;1
NanoVDB_CPU;64;4.2811e-05;1.49494e+06;3737.36;9966.29;1;1
NanoVDB_GPU;64;0.000369104;173393;433.482;346.786;256;256
OpenVDB;81;0.000270911;298991;747.478;1993.27;1;1
NanoVDB_CPU;81;0.000563699;143694;359.234;957.958;1;1
NanoVDB_GPU;81;0.000592825;136634;341.585;273.268;256;256
OpenVDB;81;0.000293213;276250;690.624;1841.66;1;1
NanoVDB_CPU;81;3.5286e-05;2.29553e+06;5738.82;15303.5;1;1
NanoVDB_GPU;81;0.00059113;137026;342.564;274.051;256;256
OpenVDB;100;0.000265585;376527;941.318;2510.18;1;1
NanoVDB_CPU;100;4.4469e-05;2.24876e+06;5621.89;14991.7;1;1
NanoVDB_GPU;100;0.000485247;206081;515.202;412.161;256;256
OpenVDB;100;0.000278605;358931;897.328;2392.87;1;1
NanoVDB_CPU;100;4.1085e-05;2.43398e+06;6084.95;16226.5;1;1
NanoVDB_GPU;100;0.000485132;206129;515.324;412.259;256;256
OpenVDB;121;0.000255686;473237;1183.09;3154.91;1;1
NanoVDB_CPU;121;7.2446e-05;1.67021e+06;4175.52;11134.7;1;1
NanoVDB_GPU;121;0.000704561;171738;429.345;343.476;256;256
OpenVDB;144;0.000261339;551008;1377.52;3673.39;1;1
NanoVDB_CPU;144;6.099e-05;2.36104e+06;5902.61;15740.3;1;1
NanoVDB_GPU;144;0.000463327;310796;776.989;621.591;256;256
OpenVDB;169;0.000288478;585833;1464.58;3905.55;1;1
NanoVDB_CPU;169;7.2584e-05;2.32834e+06;5820.84;15522.2;1;1
NanoVDB_GPU;169;0.000854718;197726;494.315;395.452;256;256
OpenVDB;196;0.000320335;611859;1529.65;4079.06;1;1
NanoVDB_CPU;196;5.5328e-05;3.54251e+06;8856.28;23616.7;1;1
NanoVDB_GPU;196;0.000625088;313556;783.89;627.112;256;256
