kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;4096;0.00527607;776335;1940.84;5175.57;1;1
NanoVDB_CPU;4096;0.00444622;921231;2303.08;6141.54;1;1
NanoVDB_GPU;4096;0.000315761;1.29718e+07;32429.6;25943.7;256;256
OpenVDB;4356;0.000628845;6.92699e+06;17317.5;46179.9;1;1
NanoVDB_CPU;4356;0.00180655;2.41122e+06;6028.06;16074.8;1;1
NanoVDB_GPU;4356;0.000389737;1.11768e+07;27941.9;22353.5;256;256
OpenVDB;4761;0.000591737;8.0458e+06;20114.5;53638.7;1;1
NanoVDB_CPU;4761;0.00097296;4.89332e+06;12233.3;32622.1;1;1
NanoVDB_GPU;4761;0.000433045;1.09942e+07;27485.6;21988.5;256;256
OpenVDB;5041;0.00591341;852469;2131.17;5683.12;1;1
NanoVDB_CPU;5041;0.000465549;1.08281e+07;27070.2;72187.2;1;1
NanoVDB_GPU;5041;0.000434863;1.15922e+07;28980.4;23184.3;256;256
OpenVDB;5476;0.000631551;8.67072e+06;21676.8;57804.8;1;1
NanoVDB_CPU;5476;0.000432799;1.26525e+07;31631.3;84350.2;1;1
NanoVDB_GPU;5476;0.000423876;1.29189e+07;32297.2;25837.7;256;256
OpenVDB;5929;0.000625073;9.48529e+06;23713.2;63235.3;1;1
NanoVDB_CPU;5929;0.000406825;1.45738e+07;36434.6;97158.9;1;1
NanoVDB_GPU;5929;0.000420282;1.41072e+07;35268;28214.4;256;256
OpenVDB;6400;0.00066536;9.61885e+06;24047.1;64125.7;1;1
NanoVDB_CPU;6400;0.000444129;1.44102e+07;36025.6;96068.2;1;1
NanoVDB_GPU;6400;0.000356425;1.79561e+07;44890.2;35912.2;256;256
OpenVDB;6889;0.000682649;1.00916e+07;25228.9;67277.1;1;1
NanoVDB_CPU;6889;0.000452971;1.52085e+07;38021.2;101390;1;1
NanoVDB_GPU;6889;0.000473771;1.45408e+07;36352;29081.6;256;256
OpenVDB;7396;0.000700623;1.05563e+07;26390.8;70375.5;1;1
NanoVDB_CPU;7396;0.000478555;1.54549e+07;38637.1;103032;1;1
NanoVDB_GPU;7396;0.000427321;1.73078e+07;43269.6;34615.7;256;256
OpenVDB;8100;0.000777341;1.04201e+07;26050.3;69467.6;1;1
NanoVDB_CPU;8100;0.000512643;1.58005e+07;39501.2;105336;1;1
NanoVDB_GPU;8100;0.000431297;1.87806e+07;46951.4;37561.1;256;256
OpenVDB;8649;0.000769662;1.12374e+07;28093.5;74916;1;1
NanoVDB_CPU;8649;0.000551218;1.56907e+07;39226.8;104605;1;1
NanoVDB_GPU;8649;0.00046979;1.84104e+07;46025.9;36820.7;256;256
OpenVDB;9409;0.000801331;1.17417e+07;29354.3;78278.1;1;1
NanoVDB_CPU;9409;0.00063048;1.49236e+07;37308.9;99490.3;1;1
NanoVDB_GPU;9409;0.000846872;1.11103e+07;27775.7;22220.6;256;256
OpenVDB;10000;0.000870141;1.14924e+07;28731;76615.9;1;1
NanoVDB_CPU;10000;0.000644844;1.55076e+07;38769.1;103384;1;1
NanoVDB_GPU;10000;0.000733013;1.36423e+07;34105.8;27284.6;256;256
OpenVDB;10816;0.000902584;1.19834e+07;29958.4;79889.1;1;1
NanoVDB_CPU;10816;0.000677669;1.59606e+07;39901.5;106404;1;1
NanoVDB_GPU;10816;0.000777272;1.39153e+07;34788.3;27830.7;256;256
OpenVDB;11664;0.000950065;1.22771e+07;30692.6;81847;1;1
NanoVDB_CPU;11664;0.000727721;1.60281e+07;40070.3;106854;1;1
NanoVDB_GPU;11664;0.000731516;1.5945e+07;39862.4;31889.9;256;256
OpenVDB;12769;0.000956931;1.33437e+07;33359.2;88958;1;1
NanoVDB_CPU;12769;0.000779897;1.63727e+07;40931.7;109151;1;1
NanoVDB_GPU;12769;0.000963862;1.32477e+07;33119.4;26495.5;256;256
OpenVDB;13689;0.0010597;1.29178e+07;32294.6;86119;1;1
NanoVDB_CPU;13689;0.000827221;1.65482e+07;41370.4;110321;1;1
NanoVDB_GPU;13689;0.000866302;1.58016e+07;39504.1;31603.3;256;256
OpenVDB;14641;0.00170114;8.6066e+06;21516.5;57377.3;1;1
NanoVDB_CPU;14641;0.00087501;1.67324e+07;41831;111549;1;1
