kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;52441;0.0116003;4.52067e+06;1374.06;30137.8;1;1
NanoVDB_CPU;52441;0.00755026;6.94559e+06;2111.12;46303.9;1;1
NanoVDB_GPU;52441;0.000785407;6.67692e+07;26707.7;953846;256;256
OpenVDB;58564;0.0118829;4.92842e+06;1498;32856.1;1;1
NanoVDB_CPU;58564;0.0083987;6.97299e+06;2119.45;46486.6;1;1
NanoVDB_GPU;58564;0.000828839;7.06579e+07;28263.1;1.0094e+06;256;256
OpenVDB;65536;0.0122543;5.34801e+06;1625.53;35653.4;1;1
NanoVDB_CPU;65536;0.0081124;8.0785e+06;2455.47;53856.7;1;1
NanoVDB_GPU;65536;0.000860427;7.61668e+07;30466.7;1.0881e+06;256;256
OpenVDB;73441;0.0121414;6.04882e+06;1838.55;40325.5;1;1
NanoVDB_CPU;73441;0.00842085;8.72133e+06;2650.86;58142.2;1;1
NanoVDB_GPU;73441;0.000968816;7.58049e+07;30322;1.08293e+06;256;256
OpenVDB;82369;0.0123019;6.69564e+06;2035.15;44637.6;1;1
NanoVDB_CPU;82369;0.00896876;9.18399e+06;2791.49;61226.6;1;1
NanoVDB_GPU;82369;0.00109031;7.55463e+07;30218.5;1.07923e+06;256;256
OpenVDB;92416;0.0124089;7.44754e+06;2263.69;49650.2;1;1
NanoVDB_CPU;92416;0.0097452;9.48323e+06;2882.44;63221.6;1;1
NanoVDB_GPU;92416;0.0011835;7.8087e+07;31234.8;1.11553e+06;256;256
OpenVDB;103684;0.0126925;8.16893e+06;2482.96;54459.5;1;1
NanoVDB_CPU;103684;0.00305915;3.38931e+07;10301.8;225954;1;1
NanoVDB_GPU;103684;0.00130082;7.97068e+07;31882.7;1.13867e+06;256;256
OpenVDB;116281;0.00530448;2.19213e+07;6663;146142;1;1
NanoVDB_CPU;116281;0.00343469;3.38548e+07;10290.2;225699;1;1
NanoVDB_GPU;116281;0.00150495;7.72659e+07;30906.4;1.1038e+06;256;256
OpenVDB;130321;0.0144054;9.04665e+06;2749.74;60311;1;1
NanoVDB_CPU;130321;0.0111061;1.17342e+07;3566.61;78227.7;1;1
NanoVDB_GPU;130321;0.00170953;7.62322e+07;30492.9;1.08903e+06;256;256
OpenVDB;145924;0.0155332;9.39433e+06;2855.42;62628.9;1;1
NanoVDB_CPU;145924;0.00433565;3.36568e+07;10230;224378;1;1
NanoVDB_GPU;145924;0.00185135;7.88203e+07;31528.1;1.126e+06;256;256
OpenVDB;163216;0.00874357;1.8667e+07;5673.86;124447;1;1
NanoVDB_CPU;163216;0.00478015;3.41446e+07;10378.3;227630;1;1
NanoVDB_GPU;163216;0.00204276;7.98997e+07;31959.9;1.14142e+06;256;256
OpenVDB;183184;0.0200248;9.14784e+06;2780.5;60985.6;1;1
NanoVDB_CPU;183184;0.0160352;1.14239e+07;3472.31;76159.3;1;1
NanoVDB_GPU;183184;0.00226367;8.09235e+07;32369.4;1.15605e+06;256;256
OpenVDB;205209;0.0198406;1.03429e+07;3143.73;68952.5;1;1
NanoVDB_CPU;205209;0.0146319;1.40248e+07;4262.86;93498.7;1;1
NanoVDB_GPU;205209;0.00272895;7.5197e+07;30078.8;1.07424e+06;256;256
OpenVDB;229441;0.0190055;1.20724e+07;3669.41;80482.3;1;1
NanoVDB_CPU;229441;0.0068445;3.35219e+07;10189;223480;1;1
NanoVDB_GPU;229441;0.00295533;7.76365e+07;31054.6;1.10909e+06;256;256
OpenVDB;257049;0.0227986;1.12748e+07;3426.99;75165.2;1;1
NanoVDB_CPU;257049;0.0166821;1.54086e+07;4683.47;102724;1;1
NanoVDB_GPU;257049;0.00315808;8.1394e+07;32557.6;1.16277e+06;256;256
OpenVDB;288369;0.0252269;1.1431e+07;3474.47;76206.7;1;1
NanoVDB_CPU;288369;0.0176514;1.63369e+07;4965.61;108912;1;1
NanoVDB_GPU;288369;0.00365949;7.88003e+07;31520.1;1.12572e+06;256;256
OpenVDB;323761;0.01494;2.16708e+07;6586.86;144472;1;1
NanoVDB_CPU;323761;0.00966554;3.34964e+07;10181.3;223310;1;1
NanoVDB_GPU;323761;0.00387931;8.34584e+07;33383.4;1.19226e+06;256;256
OpenVDB;362404;0.0250316;1.44779e+07;4400.57;96519.1;1;1
NanoVDB_CPU;362404;0.0107878;3.35939e+07;10210.9;223960;1;1
NanoVDB_GPU;362404;0.00453146;7.99751e+07;31990;1.1425e+06;256;256
OpenVDB;405769;0.018274;2.22047e+07;6749.14;148031;1;1
NanoVDB_CPU;405769;0.0120833;3.35811e+07;10207;223874;1;1
NanoVDB_GPU;405769;0.0049208;8.246e+07;32984;1.178e+06;256;256
OpenVDB;454276;0.0209565;2.1677e+07;6588.77;144514;1;1
NanoVDB_CPU;454276;0.0135402;3.35501e+07;10197.6;223668;1;1
NanoVDB_GPU;454276;0.00533454;8.51575e+07;34063;1.21654e+06;256;256
OpenVDB;509796;0.032621;1.56279e+07;4750.11;104186;1;1
NanoVDB_CPU;509796;0.0327625;1.55604e+07;4729.6;103736;1;1
NanoVDB_GPU;509796;0.00589734;8.64451e+07;34578;1.23493e+06;256;256
OpenVDB;571536;0.0256361;2.22942e+07;6776.36;148628;1;1
