kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
NanoVDB_CPU;405769;0.0254223;1.59612e+07;4851.42;106408;1;1
NanoVDB_GPU;405769;0.00373621;1.08604e+08;43441.8;1.55149e+06;256;256
OpenVDB;454276;0.0399499;1.13711e+07;3456.28;75807.6;1;1
NanoVDB_CPU;454276;0.0269406;1.68621e+07;5125.27;112414;1;1
NanoVDB_GPU;454276;0.00403565;1.12566e+08;45026.3;1.60808e+06;256;256
OpenVDB;509796;0.0457372;1.11462e+07;3387.9;74307.9;1;1
NanoVDB_CPU;509796;0.026955;1.89129e+07;5748.59;126086;1;1
NanoVDB_GPU;509796;0.00446044;1.14293e+08;45717.1;1.63275e+06;256;256
OpenVDB;571536;0.0465512;1.22776e+07;3731.79;81850.5;1;1
NanoVDB_CPU;571536;0.0321012;1.78042e+07;5411.62;118695;1;1
NanoVDB_GPU;571536;0.00506198;1.12908e+08;45163;1.61297e+06;256;256
OpenVDB;640000;0.0606195;1.05577e+07;3209.01;70384.3;1;1
NanoVDB_CPU;640000;0.0360546;1.77509e+07;5395.4;118339;1;1
NanoVDB_GPU;640000;0.00565301;1.13214e+08;45285.6;1.61734e+06;256;256
OpenVDB;717409;0.066355;1.08117e+07;3286.23;72077.9;1;1
NanoVDB_CPU;717409;0.0411935;1.74156e+07;5293.49;116104;1;1
NanoVDB_GPU;717409;0.006419;1.11763e+08;44705.4;1.59662e+06;256;256
OpenVDB;802816;0.0609013;1.31823e+07;4006.77;87881.7;1;1
NanoVDB_CPU;802816;0.0316904;2.53331e+07;7700.02;168887;1;1
NanoVDB_GPU;802816;0.00707829;1.13419e+08;45367.8;1.62028e+06;256;256
OpenVDB;900601;0.0500127;1.80075e+07;5473.39;120050;1;1
NanoVDB_CPU;900601;0.0384254;2.34376e+07;7123.9;156251;1;1
NanoVDB_GPU;900601;0.00794786;1.13314e+08;45325.4;1.61877e+06;256;256
OpenVDB;1008016;0.0598674;1.68375e+07;5117.77;112250;1;1
NanoVDB_CPU;1008016;0.0351933;2.86423e+07;8705.87;190949;1;1
NanoVDB_GPU;1008016;0.00888743;1.1342e+08;45368.1;1.62029e+06;256;256
OpenVDB;1129969;0.0621337;1.81861e+07;5527.69;121241;1;1
NanoVDB_CPU;1129969;0.0627922;1.79954e+07;5469.71;119969;1;1
NanoVDB_GPU;1129969;0.0100579;1.12347e+08;44938.7;1.60495e+06;256;256
OpenVDB;1265625;0.105588;1.19864e+07;3643.29;79909.4;1;1
NanoVDB_CPU;1265625;0.0673371;1.87954e+07;5712.88;125302;1;1
NanoVDB_GPU;1265625;0.0112277;1.12723e+08;45089.4;1.61034e+06;256;256
OpenVDB;1418481;0.115574;1.22733e+07;3730.5;81822.3;1;1
NanoVDB_CPU;1418481;0.0512327;2.7687e+07;8415.51;184580;1;1
NanoVDB_GPU;1418481;0.0126506;1.12127e+08;44851;1.60182e+06;256;256
OpenVDB;1590121;0.086874;1.83038e+07;5563.46;122025;1;1
NanoVDB_CPU;1590121;0.0548892;2.89696e+07;8805.36;193131;1;1
NanoVDB_GPU;1590121;0.0141969;1.12005e+08;44801.9;1.60007e+06;256;256
OpenVDB;1782225;0.0975224;1.8275e+07;5554.72;121834;1;1
NanoVDB_CPU;1782225;0.0611087;2.91648e+07;8864.69;194432;1;1
NanoVDB_GPU;1782225;0.0161146;1.10597e+08;44238.7;1.57995e+06;256;256
OpenVDB;1996569;0.109173;1.82881e+07;5558.68;121920;1;1
NanoVDB_CPU;1996569;0.0684907;2.9151e+07;8860.48;194340;1;1
NanoVDB_GPU;1996569;0.0183088;1.0905e+08;43619.9;1.55785e+06;256;256
OpenVDB;2235025;0.121745;1.83582e+07;5580.01;122388;1;1
NanoVDB_CPU;2235025;0.0764608;2.9231e+07;8884.8;194873;1;1
NanoVDB_GPU;2235025;0.0213194;1.04835e+08;41934.1;1.49765e+06;256;256
