kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;4096;0.0132984;308006;770.016;2053.38;1;1
NanoVDB_CPU;4096;0.00538399;760774;1901.94;5071.83;1;1
NanoVDB_GPU;4096;0.00115754;3.53853e+06;8846.32;7077.06;256;256
OpenVDB;6724;0.0187748;358140;895.35;2387.6;1;1
NanoVDB_CPU;6724;0.00876049;767537;1918.84;5116.91;1;1
NanoVDB_GPU;6724;0.000885876;7.59023e+06;18975.6;15180.5;256;256
OpenVDB;11449;0.0354534;322931;807.327;2152.87;1;1
NanoVDB_CPU;11449;0.0132322;865236;2163.09;5768.24;1;1
NanoVDB_GPU;11449;0.00146825;7.7977e+06;19494.2;15595.4;256;256
OpenVDB;19321;0.0574699;336193;840.483;2241.29;1;1
NanoVDB_CPU;19321;0.0195708;987236;2468.09;6581.57;1;1
NanoVDB_GPU;19321;0.00207191;9.3252e+06;23313;18650.4;256;256
OpenVDB;32761;0.0970837;337451;843.628;2249.67;1;1
NanoVDB_CPU;32761;0.0385022;850888;2127.22;5672.58;1;1
NanoVDB_GPU;32761;0.00426322;7.68456e+06;19211.4;15369.1;256;256
OpenVDB;54756;0.15889;344616;861.539;2297.44;1;1
NanoVDB_CPU;54756;0.0595612;919324;2298.31;6128.82;1;1
NanoVDB_GPU;54756;0.00474866;1.15308e+07;28827.1;23061.7;256;256
OpenVDB;92416;0.268019;344811;862.028;2298.74;1;1
NanoVDB_CPU;92416;0.0956921;965764;2414.41;6438.43;1;1
NanoVDB_GPU;92416;0.00821666;1.12474e+07;28118.5;22494.8;256;256
OpenVDB;155236;0.405934;382417;956.042;2549.45;1;1
NanoVDB_CPU;155236;0.150089;1.03429e+06;2585.74;6895.3;1;1
NanoVDB_GPU;155236;0.0126494;1.22722e+07;30680.6;24544.5;256;256
