kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
NanoVDB_GPU;41616;0.00110855;3.7541e+07;15016.4;536300;256;256
OpenVDB;46656;0.0139129;3.35342e+06;1019.28;22356.2;1;1
NanoVDB_CPU;46656;0.00891567;5.23303e+06;1590.59;34886.9;1;1
NanoVDB_GPU;46656;0.00119527;3.90338e+07;15613.5;557625;256;256
OpenVDB;52441;0.0141805;3.6981e+06;1124.04;24654;1;1
NanoVDB_CPU;52441;0.0120012;4.36966e+06;1328.16;29131.1;1;1
NanoVDB_GPU;52441;0.00124408;4.21525e+07;16861;602179;256;256
OpenVDB;58564;0.0146533;3.99663e+06;1214.78;26644.2;1;1
NanoVDB_CPU;58564;0.0151613;3.86273e+06;1174.08;25751.5;1;1
NanoVDB_GPU;58564;0.00128844;4.54533e+07;18181.3;649333;256;256
OpenVDB;65536;0.0149773;4.37569e+06;1330;29171.3;1;1
NanoVDB_CPU;65536;0.0103975;6.30308e+06;1915.83;42020.5;1;1
NanoVDB_GPU;65536;0.00141007;4.64773e+07;18590.9;663961;256;256
OpenVDB;73441;0.015452;4.75286e+06;1444.64;31685.7;1;1
NanoVDB_CPU;73441;0.0122926;5.97443e+06;1815.94;39829.5;1;1
NanoVDB_GPU;73441;0.00154493;4.75367e+07;19014.7;679096;256;256
OpenVDB;82369;0.0157669;5.22418e+06;1587.9;34827.9;1;1
NanoVDB_CPU;82369;0.012195;6.75433e+06;2052.99;45028.8;1;1
NanoVDB_GPU;82369;0.00176583;4.66462e+07;18658.5;666374;256;256
OpenVDB;92416;0.00539566;1.71278e+07;5206.03;114186;1;1
NanoVDB_CPU;92416;0.00351781;2.62709e+07;7985.07;175139;1;1
NanoVDB_GPU;92416;0.00189292;4.8822e+07;19528.8;697456;256;256
OpenVDB;103684;0.00603338;1.71851e+07;5223.42;114567;1;1
NanoVDB_CPU;103684;0.00399437;2.59576e+07;7889.83;173050;1;1
NanoVDB_GPU;103684;0.00207998;4.98486e+07;19939.4;712122;256;256
OpenVDB;116281;0.0067229;1.72963e+07;5257.22;115308;1;1
NanoVDB_CPU;116281;0.00439162;2.64779e+07;8048;176519;1;1
NanoVDB_GPU;116281;0.00245449;4.73747e+07;18949.9;676782;256;256
OpenVDB;130321;0.00759066;1.71686e+07;5218.42;114457;1;1
NanoVDB_CPU;130321;0.019557;6.66367e+06;2025.43;44424.4;1;1
NanoVDB_GPU;130321;0.00267488;4.87202e+07;19488.1;696003;256;256
OpenVDB;145924;0.00856588;1.70355e+07;5177.96;113570;1;1
NanoVDB_CPU;145924;0.00559507;2.60808e+07;7927.3;173872;1;1
NanoVDB_GPU;145924;0.00305527;4.77614e+07;19104.6;682305;256;256
OpenVDB;163216;0.015987;1.02093e+07;3103.13;68061.9;1;1
NanoVDB_CPU;163216;0.00629042;2.59468e+07;7886.55;172978;1;1
NanoVDB_GPU;163216;0.00337093;4.84187e+07;19367.5;691696;256;256
OpenVDB;183184;0.0107933;1.6972e+07;5158.65;113146;1;1
NanoVDB_CPU;183184;0.00698677;2.62187e+07;7969.21;174791;1;1
NanoVDB_GPU;183184;0.00371757;4.92752e+07;19710.1;703932;256;256
OpenVDB;205209;0.0119546;1.71657e+07;5217.55;114438;1;1
NanoVDB_CPU;205209;0.00788574;2.60228e+07;7909.67;173485;1;1
NanoVDB_GPU;205209;0.00435577;4.7112e+07;18844.8;673028;256;256
OpenVDB;229441;0.0313993;7.30719e+06;2221.03;48714.6;1;1
NanoVDB_CPU;229441;0.0105704;2.17059e+07;6597.55;144706;1;1
NanoVDB_GPU;229441;0.00472906;4.85173e+07;19406.9;693104;256;256
OpenVDB;257049;0.0274891;9.35094e+06;2842.23;62339.6;1;1
NanoVDB_CPU;257049;0.0215575;1.19239e+07;3624.29;79492.7;1;1
NanoVDB_GPU;257049;0.0050275;5.11286e+07;20451.4;730408;256;256
